  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
    64,     P-680,   2022/11/17 02:20:51,           1-03,      14,        -0.065,        -0.851,        -1.838,         0.384,         20437,       0,    1,                                     BER,                                    STD2,                 H2O, 1668651927.13,         0.270,         0.176,         0.588,         0.205,       112.659,        -0.000,        -0.008,         1.777,        95.016,        35.843,         1.187,        89.132,         1.039,         2.172,       -0.0000,       -0.0001,    0,        43.938,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    65,     P-680,   2022/11/17 02:29:48,           1-03,      15,        -0.054,        -0.811,        -1.653,         0.375,         20307,       0,    1,                                     BER,                                    STD2,                 H2O, 1668652464.54,         0.228,         0.171,         0.526,         0.169,       113.663,        -0.001,        -0.007,         1.789,        94.423,        35.858,         1.162,        87.364,         1.035,         1.970,       -0.0000,       -0.0000,    0,        43.875,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    66,     P-680,   2022/11/17 02:38:45,           1-03,      16,        -0.048,        -0.752,        -1.452,         0.349,         20311,       0,    1,                                     BER,                                    STD2,                 H2O, 1668653000.73,         0.236,         0.191,         0.528,         0.163,       113.023,        -0.001,        -0.007,         1.781,        94.535,        35.827,         1.160,        87.016,         1.038,         1.893,       -0.0000,        0.0000,    0,        43.938,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    67,     P-680,   2022/11/17 02:47:43,           1-03,      17,        -0.076,        -0.787,        -1.340,         0.340,         20316,       0,    1,                                     BER,                                    STD2,                 H2O, 1668653539.07,         0.267,         0.203,         0.501,         0.186,       115.023,        -0.001,        -0.006,         1.818,        94.442,        35.704,         1.177,        88.195,         1.039,         2.075,       -0.0000,        0.0000,    0,        43.875,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    68,     P-680,   2022/11/17 02:56:40,           1-03,      18,        -0.049,        -0.752,        -1.177,         0.348,         20447,       0,    1,                                     BER,                                    STD2,                 H2O, 1668654076.13,         0.263,         0.207,         0.520,         0.180,       113.769,        -0.001,        -0.006,         1.792,        95.200,        35.856,         1.179,        88.426,         1.037,         1.987,       -0.0000,        0.0000,    0,        43.875,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    69,     P-680,   2022/11/17 03:05:38,           1-03,      19,        -0.037,        -0.770,        -1.303,         0.369,         20219,       0,    1,                                     BER,                                    STD2,                 H2O, 1668654613.31,         0.260,         0.196,         0.443,         0.183,       115.553,        -0.001,        -0.005,         1.821,        93.967,        35.757,         1.164,        87.048,         1.035,         2.020,        0.0000,       -0.0000,    0,        43.875,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    70,     P-680,   2022/11/17 03:14:35,           1-03,      20,        -0.062,        -0.762,        -0.843,         0.340,         20572,       0,    1,                                     BER,                                    STD2,                 H2O, 1668655151.64,         0.229,         0.184,         0.460,         0.165,       117.684,        -0.001,        -0.006,         1.850,        95.781,        35.991,         1.192,        89.480,         1.038,         2.150,       -0.0000,        0.0000,    0,        43.812,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    71,     P-680,   2022/11/17 03:23:32,           1-03,      21,        -0.085,        -0.739,        -0.876,         0.305,         20265,       0,    1,                                     BER,                                    STD2,                 H2O, 1668655688.49,         0.233,         0.184,         0.482,         0.162,       111.500,        -0.001,        -0.006,         1.771,        94.283,        35.609,         1.167,        87.252,         1.035,         1.961,       -0.0000,        0.0001,    0,        43.875,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    72,     P-680,   2022/11/17 03:32:29,           1-03,      22,        -0.073,        -0.764,        -0.773,         0.331,         20404,       0,    1,                                     BER,                                    STD2,                 H2O, 1668656225.42,         0.248,         0.179,         0.439,         0.185,       112.215,        -0.001,        -0.005,         1.777,        94.920,        35.900,         1.178,        88.147,         1.035,         2.035,        0.0000,        0.0000,    0,        43.938,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    73,     P-680,   2022/11/17 03:41:26,           1-03,      23,        -0.019,        -0.737,        -0.741,         0.370,         20422,       0,    1,                                     BER,                                    STD2,                 H2O, 1668656762.97,         0.231,         0.171,         0.423,         0.163,       112.409,        -0.000,        -0.005,         1.771,        95.042,        36.002,         1.174,        87.928,         1.037,         1.989,       -0.0000,        0.0000,    0,        43.875,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    74,     P-680,   2022/11/17 03:50:24,           1-03,      24,        -0.083,        -0.751,        -0.656,         0.314,         20363,       0,    1,                                     BER,                                    STD2,                 H2O, 1668657299.69,         0.251,         0.206,         0.447,         0.173,       112.604,        -0.001,        -0.006,         1.785,        94.675,        35.908,         1.173,        87.990,         1.036,         2.022,        0.0000,        0.0000,    0,        43.875,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    75,     P-680,   2022/11/17 03:59:21,           1-03,      25,        -0.010,        -0.738,        -0.654,         0.380,         20380,       0,    1,                                     BER,                                    STD2,                 H2O, 1668657837.32,         0.244,         0.181,         0.446,         0.171,       111.313,        -0.000,        -0.005,         1.763,        94.823,        35.769,         1.177,        88.312,         1.034,         2.019,       -0.0000,       -0.0000,    0,        43.938,         1,       3,       2,Baptiste_20000ppm_O17,       0,       1
    76,     P-681,   2022/11/17 04:08:18,           1-04,       1,        -0.025,        -0.741,        -0.561,         0.366,         20141,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668658373.80,         0.258,         0.188,         0.428,         0.186,       114.113,        -0.001,        -0.005,         1.809,        93.541,        35.428,         1.169,        87.498,         1.037,         2.101,       -0.0000,       -0.0000,    0,        43.875,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    77,     P-681,   2022/11/17 04:17:15,           1-04,       2,        -0.059,        -0.734,        -0.508,         0.329,         20348,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668658911.24,         0.247,         0.186,         0.411,         0.172,       111.403,        -0.001,        -0.004,         1.767,        94.597,        35.785,         1.176,        88.255,         1.037,         2.110,       -0.0000,        0.0000,    0,        43.875,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    78,     P-681,   2022/11/17 04:26:13,           1-04,       3,        -0.006,        -0.737,        -0.449,         0.383,         20362,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668659448.86,         0.237,         0.165,         0.380,         0.178,       112.878,        -0.000,        -0.004,         1.798,        94.710,        35.774,         1.177,        88.256,         1.035,         2.087,       -0.0000,       -0.0000,    0,        43.875,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    79,     P-681,   2022/11/17 04:35:10,           1-04,       4,        -0.044,        -0.773,        -0.397,         0.364,         20421,       0,    1,                                     BER,                                    STD2,                 H2O, 1668659985.55,         0.243,         0.195,         0.409,         0.173,       114.152,        -0.001,        -0.005,         1.789,        94.903,        35.911,         1.188,        88.939,         1.037,         2.195,        0.0000,       -0.0000,    0,        43.875,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    80,     P-681,   2022/11/17 04:44:07,           1-04,       5,        -0.081,        -0.761,        -0.259,         0.321,         20441,       0,    1,                                     BER,                                    STD2,                 H2O, 1668660523.17,         0.265,         0.179,         0.417,         0.192,       113.309,        -0.001,        -0.004,         1.788,        95.062,        35.817,         1.192,        88.995,         1.035,         2.165,       -0.0000,        0.0000,    0,        43.938,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    81,     P-681,   2022/11/17 04:53:04,           1-04,       6,         0.008,        -0.683,        -0.290,         0.369,         20347,       0,    1,                                     BER,                                    STD2,                 H2O, 1668661060.12,         0.239,         0.182,         0.413,         0.179,       113.273,        -0.001,        -0.005,         1.793,        94.745,        35.911,         1.159,        87.099,         1.035,         1.867,       -0.0000,        0.0000,    0,        43.938,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    82,     P-681,   2022/11/17 05:02:01,           1-04,       7,        -0.015,        -0.730,        -0.319,         0.370,         20429,       0,    1,                                     BER,                                    STD2,                 H2O, 1668661597.53,         0.240,         0.187,         0.389,         0.172,       111.133,        -0.000,        -0.004,         1.759,        95.028,        36.014,         1.175,        88.253,         1.038,         2.027,        0.0000,       -0.0000,    0,        44.000,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    83,     P-681,   2022/11/17 05:10:59,           1-04,       8,        -0.026,        -0.728,        -0.198,         0.358,         20428,       0,    1,                                     BER,                                    STD2,                 H2O, 1668662135.19,         0.268,         0.195,         0.401,         0.190,       115.147,        -0.001,        -0.004,         1.813,        95.025,        35.987,         1.176,        88.337,         1.036,         2.028,       -0.0000,       -0.0000,    0,        44.062,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    84,     P-681,   2022/11/17 05:19:56,           1-04,       9,        -0.074,        -0.731,        -0.161,         0.312,         20405,       0,    1,                                     BER,                                    STD2,                 H2O, 1668662672.12,         0.251,         0.186,         0.440,         0.188,       111.206,        -0.000,        -0.005,         1.747,        94.927,        35.831,         1.180,        88.395,         1.036,         2.032,       -0.0000,        0.0000,    0,        44.125,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    85,     P-681,   2022/11/17 05:28:54,           1-04,      10,        -0.023,        -0.715,        -0.149,         0.354,         20426,       0,    1,                                     BER,                                    STD2,                 H2O, 1668663210.18,         0.229,         0.170,         0.345,         0.167,       112.395,        -0.000,        -0.003,         1.778,        95.049,        35.868,         1.180,        88.442,         1.038,         2.011,       -0.0000,        0.0000,    0,        44.188,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    86,     P-681,   2022/11/17 05:37:53,           1-04,      11,        -0.042,        -0.733,        -0.121,         0.345,         20418,       0,    1,                                     BER,                                    STD2,                 H2O, 1668663749.16,         0.243,         0.182,         0.410,         0.179,       109.430,        -0.000,        -0.004,         1.742,        94.969,        36.006,         1.178,        88.183,         1.035,         2.036,        0.0000,        0.0000,    0,        44.250,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    87,     P-681,   2022/11/17 05:46:50,           1-04,      12,         0.001,        -0.699,        -0.067,         0.371,         20418,       0,    1,                                     BER,                                    STD2,                 H2O, 1668664286.07,         0.262,         0.185,         0.426,         0.190,       112.919,        -0.001,        -0.005,         1.773,        95.084,        35.871,         1.175,        88.018,         1.036,         1.978,        0.0000,        0.0000,    0,        44.375,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    88,     P-681,   2022/11/17 05:55:48,           1-04,      13,        -0.046,        -0.733,         0.041,         0.342,         20344,       0,    1,                                     BER,                                    STD2,                 H2O, 1668664823.60,         0.236,         0.188,         0.367,         0.166,       112.144,        -0.001,        -0.004,         1.777,        94.565,        35.761,         1.183,        88.305,         1.036,         2.157,        0.0000,       -0.0000,    0,        44.438,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    89,     P-681,   2022/11/17 06:04:46,           1-04,      14,        -0.024,        -0.741,        -0.015,         0.368,         20444,       0,    1,                                     BER,                                    STD2,                 H2O, 1668665362.29,         0.240,         0.181,         0.348,         0.172,       114.892,        -0.001,        -0.003,         1.813,        95.057,        36.083,         1.177,        88.485,         1.037,         2.106,       -0.0000,       -0.0000,    0,        44.500,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    90,     P-681,   2022/11/17 06:13:43,           1-04,      15,        -0.038,        -0.711,         0.026,         0.337,         20405,       0,    1,                                     BER,                                    STD2,                 H2O, 1668665899.30,         0.238,         0.174,         0.349,         0.170,       112.237,        -0.001,        -0.003,         1.781,        94.928,        35.844,         1.177,        88.434,         1.036,         2.053,        0.0000,        0.0000,    0,        44.562,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    91,     P-681,   2022/11/17 06:22:41,           1-04,      16,        -0.026,        -0.709,         0.098,         0.349,         20434,       0,    1,                                     BER,                                    STD2,                 H2O, 1668666436.86,         0.240,         0.177,         0.353,         0.173,       113.588,        -0.001,        -0.003,         1.796,        95.054,        35.758,         1.187,        89.053,         1.035,         2.167,        0.0000,        0.0000,    0,        44.562,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    92,     P-681,   2022/11/17 06:31:38,           1-04,      17,        -0.036,        -0.732,         0.049,         0.351,         20420,       0,    1,                                     BER,                                    STD2,                 H2O, 1668666973.28,         0.236,         0.177,         0.367,         0.173,       114.198,        -0.000,        -0.004,         1.794,        94.993,        35.959,         1.174,        88.388,         1.035,         2.083,       -0.0000,       -0.0000,    0,        44.562,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    93,     P-681,   2022/11/17 06:40:35,           1-04,      18,         0.010,        -0.703,         0.035,         0.382,         20325,       0,    1,                                     BER,                                    STD2,                 H2O, 1668667511.12,         0.233,         0.178,         0.355,         0.168,       113.252,        -0.000,        -0.003,         1.795,        94.557,        35.708,         1.176,        87.986,         1.037,         1.987,        0.0000,       -0.0000,    0,        44.625,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    94,     P-681,   2022/11/17 06:49:33,           1-04,      19,         0.017,        -0.715,         0.063,         0.394,         20445,       0,    1,                                     BER,                                    STD2,                 H2O, 1668668048.41,         0.220,         0.169,         0.324,         0.157,       114.727,        -0.000,        -0.003,         1.804,        95.120,        36.108,         1.171,        88.059,         1.035,         2.050,        0.0000,       -0.0000,    0,        44.562,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    95,     P-681,   2022/11/17 06:58:30,           1-04,      20,        -0.032,        -0.723,         0.092,         0.350,         20425,       0,    1,                                     BER,                                    STD2,                 H2O, 1668668586.34,         0.234,         0.182,         0.320,         0.168,       113.587,        -0.001,        -0.002,         1.792,        95.042,        35.948,         1.172,        88.332,         1.035,         2.069,       -0.0000,       -0.0000,    0,        44.500,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    96,     P-681,   2022/11/17 07:07:28,           1-04,      21,         0.003,        -0.695,         0.211,         0.370,         20412,       0,    1,                                     BER,                                    STD2,                 H2O, 1668669124.33,         0.248,         0.174,         0.353,         0.179,       113.121,        -0.000,        -0.003,         1.779,        94.940,        35.902,         1.179,        88.442,         1.036,         2.096,        0.0000,       -0.0000,    0,        44.625,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    97,     P-681,   2022/11/17 07:16:25,           1-04,      22,        -0.048,        -0.708,         0.168,         0.326,         20405,       0,    1,                                     BER,                                    STD2,                 H2O, 1668669661.13,         0.253,         0.192,         0.386,         0.181,       112.902,        -0.001,        -0.004,         1.783,        94.948,        35.901,         1.178,        88.183,         1.037,         2.002,       -0.0000,        0.0000,    0,        44.562,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    98,     P-681,   2022/11/17 07:25:23,           1-04,      23,        -0.021,        -0.670,         0.338,         0.333,         20445,       0,    1,                                     BER,                                    STD2,                 H2O, 1668670199.15,         0.241,         0.174,         0.378,         0.175,       113.198,        -0.000,        -0.004,         1.791,        95.157,        35.969,         1.175,        88.220,         1.038,         1.988,       -0.0000,        0.0000,    0,        44.562,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
    99,     P-681,   2022/11/17 07:34:19,           1-04,      24,        -0.026,        -0.696,         0.287,         0.342,         20435,       0,    1,                                     BER,                                    STD2,                 H2O, 1668670735.50,         0.236,         0.189,         0.369,         0.169,       114.129,        -0.001,        -0.003,         1.803,        95.122,        35.937,         1.179,        88.284,         1.036,         2.007,        0.0000,        0.0000,    0,        44.500,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
   100,     P-681,   2022/11/17 07:43:16,           1-04,      25,        -0.027,        -0.717,         0.238,         0.352,         20387,       0,    1,                                     BER,                                    STD2,                 H2O, 1668671272.51,         0.238,         0.177,         0.339,         0.174,       111.446,        -0.000,        -0.003,         1.756,        94.815,        35.813,         1.182,        88.558,         1.035,         2.141,       -0.0000,        0.0000,    0,        44.500,         1,       4,       2,Baptiste_20000ppm_O17,       0,       1
   101,     P-682,   2022/11/17 07:52:14,           1-05,       1,         0.003,        -0.690,         0.179,         0.368,         20227,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668671810.01,         0.254,         0.191,         0.361,         0.177,       110.955,        -0.000,        -0.003,         1.759,        94.046,        35.510,         1.173,        87.666,         1.033,         2.094,        0.0000,       -0.0000,    0,        44.438,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   102,     P-682,   2022/11/17 08:01:11,           1-05,       2,        -0.025,        -0.702,         0.304,         0.346,         20450,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668672347.13,         0.229,         0.173,         0.345,         0.169,       114.718,        -0.001,        -0.003,         1.809,        95.211,        35.933,         1.177,        88.305,         1.035,         2.058,        0.0000,        0.0000,    0,        44.375,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   103,     P-682,   2022/11/17 08:10:09,           1-05,       3,        -0.036,        -0.713,         0.350,         0.340,         20436,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668672884.54,         0.245,         0.183,         0.307,         0.174,       115.055,        -0.000,        -0.002,         1.805,        95.007,        35.915,         1.185,        89.016,         1.035,         2.210,        0.0000,       -0.0000,    0,        44.500,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   104,     P-682,   2022/11/17 08:19:06,           1-05,       4,        -0.035,        -0.699,         0.326,         0.334,         20442,       0,    1,                                     BER,                                    STD2,                 H2O, 1668673421.77,         0.238,         0.173,         0.337,         0.175,       114.591,        -0.001,        -0.003,         1.800,        95.122,        36.029,         1.174,        88.259,         1.035,         2.017,       -0.0000,        0.0000,    0,        44.562,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   105,     P-682,   2022/11/17 08:28:05,           1-05,       5,        -0.010,        -0.685,         0.371,         0.352,         20431,       0,    1,                                     BER,                                    STD2,                 H2O, 1668673961.00,         0.252,         0.180,         0.329,         0.178,       110.651,        -0.000,        -0.002,         1.757,        95.029,        36.075,         1.175,        88.187,         1.034,         2.054,       -0.0000,        0.0000,    0,        44.625,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   106,     P-682,   2022/11/17 08:37:02,           1-05,       6,        -0.015,        -0.696,         0.366,         0.353,         20458,       0,    1,                                     BER,                                    STD2,                 H2O, 1668674497.88,         0.234,         0.172,         0.310,         0.167,       112.797,        -0.000,        -0.002,         1.783,        95.220,        35.980,         1.180,        88.561,         1.038,         2.137,       -0.0000,       -0.0000,    0,        44.688,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   107,     P-682,   2022/11/17 08:45:59,           1-05,       7,        -0.037,        -0.706,         0.390,         0.336,         20461,       0,    1,                                     BER,                                    STD2,                 H2O, 1668675035.87,         0.251,         0.189,         0.334,         0.179,       112.025,        -0.001,        -0.002,         1.767,        95.277,        35.929,         1.180,        88.441,         1.035,         2.046,       -0.0000,        0.0000,    0,        44.750,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   108,     P-682,   2022/11/17 08:54:56,           1-05,       8,        -0.073,        -0.721,         0.426,         0.307,         20392,       0,    1,                                     BER,                                    STD2,                 H2O, 1668675572.07,         0.266,         0.185,         0.404,         0.205,       112.336,        -0.000,        -0.004,         1.768,        94.784,        35.776,         1.187,        88.924,         1.036,         2.238,        0.0000,        0.0000,    0,        44.625,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   109,     P-682,   2022/11/17 09:03:54,           1-05,       9,        -0.028,        -0.717,         0.514,         0.351,         20469,       0,    1,                                     BER,                                    STD2,                 H2O, 1668676110.52,         0.248,         0.182,         0.349,         0.182,       111.782,        -0.000,        -0.003,         1.777,        95.174,        36.110,         1.180,        88.691,         1.035,         2.156,       -0.0000,        0.0000,    0,        44.312,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   110,     P-682,   2022/11/17 09:12:51,           1-05,      10,        -0.014,        -0.713,         0.377,         0.362,         20425,       0,    1,                                     BER,                                    STD2,                 H2O, 1668676647.39,         0.243,         0.189,         0.333,         0.171,       114.836,        -0.000,        -0.003,         1.802,        95.004,        35.982,         1.180,        88.461,         1.037,         2.137,       -0.0000,       -0.0000,    0,        44.000,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   111,     P-682,   2022/11/17 09:21:50,           1-05,      11,         0.008,        -0.691,         0.409,         0.373,         20411,       0,    1,                                     BER,                                    STD2,                 H2O, 1668677186.21,         0.242,         0.190,         0.319,         0.169,       114.253,        -0.000,        -0.002,         1.796,        95.042,        35.844,         1.175,        88.200,         1.036,         2.015,       -0.0000,       -0.0000,    0,        43.938,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   112,     P-682,   2022/11/17 09:30:48,           1-05,      12,        -0.039,        -0.734,         0.421,         0.349,         20437,       0,    1,                                     BER,                                    STD2,                 H2O, 1668677723.88,         0.257,         0.197,         0.341,         0.179,       113.631,        -0.000,        -0.002,         1.788,        95.080,        35.990,         1.179,        88.508,         1.036,         2.084,       -0.0000,       -0.0000,    0,        44.000,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   113,     P-682,   2022/11/17 09:39:45,           1-05,      13,        -0.027,        -0.702,         0.475,         0.344,         20434,       0,    1,                                     BER,                                    STD2,                 H2O, 1668678260.65,         0.237,         0.179,         0.336,         0.173,       114.277,        -0.000,        -0.003,         1.795,        95.142,        35.849,         1.176,        88.465,         1.036,         2.045,       -0.0000,        0.0000,    0,        44.000,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   114,     P-682,   2022/11/17 09:48:42,           1-05,      14,        -0.013,        -0.668,         0.497,         0.339,         20437,       0,    1,                                     BER,                                    STD2,                 H2O, 1668678798.42,         0.222,         0.163,         0.322,         0.164,       113.844,        -0.001,        -0.002,         1.808,        95.246,        35.849,         1.172,        87.928,         1.037,         1.916,        0.0000,        0.0000,    0,        43.812,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   115,     P-682,   2022/11/17 09:57:39,           1-05,      15,        -0.016,        -0.697,         0.514,         0.352,         20450,       0,    1,                                     BER,                                    STD2,                 H2O, 1668679335.44,         0.235,         0.167,         0.295,         0.174,       113.375,        -0.001,        -0.001,         1.799,        95.202,        35.938,         1.177,        88.372,         1.038,         2.041,        0.0000,        0.0000,    0,        43.688,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   116,     P-682,   2022/11/17 10:06:36,           1-05,      16,        -0.066,        -0.695,         0.600,         0.301,         20451,       0,    1,                                     BER,                                    STD2,                 H2O, 1668679872.56,         0.235,         0.180,         0.347,         0.167,       111.136,        -0.001,        -0.003,         1.760,        95.189,        35.821,         1.184,        88.788,         1.036,         2.078,       -0.0000,        0.0000,    0,        43.688,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   117,     P-682,   2022/11/17 10:15:33,           1-05,      17,        -0.038,        -0.716,         0.541,         0.341,         20475,       0,    1,                                     BER,                                    STD2,                 H2O, 1668680409.96,         0.253,         0.185,         0.331,         0.184,       114.518,        -0.001,        -0.002,         1.804,        95.274,        35.918,         1.185,        89.097,         1.037,         2.145,       -0.0000,       -0.0000,    0,        43.875,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   118,     P-682,   2022/11/17 10:24:31,           1-05,      18,        -0.013,        -0.698,         0.543,         0.356,         20442,       0,    1,                                     BER,                                    STD2,                 H2O, 1668680946.86,         0.257,         0.183,         0.306,         0.185,       114.428,        -0.000,        -0.002,         1.792,        95.133,        36.001,         1.177,        88.318,         1.037,         2.063,       -0.0000,       -0.0000,    0,        43.938,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   119,     P-682,   2022/11/17 10:33:28,           1-05,      19,        -0.067,        -0.700,         0.601,         0.303,         20410,       0,    1,                                     BER,                                    STD2,                 H2O, 1668681484.02,         0.245,         0.192,         0.350,         0.171,       114.750,        -0.001,        -0.002,         1.804,        94.911,        35.765,         1.187,        88.911,         1.036,         2.191,        0.0000,        0.0000,    0,        43.875,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   120,     P-682,   2022/11/17 10:42:26,           1-05,      20,         0.003,        -0.672,         0.564,         0.357,         20456,       0,    1,                                     BER,                                    STD2,                 H2O, 1668682021.80,         0.266,         0.181,         0.311,         0.197,       114.860,        -0.000,        -0.001,         1.805,        95.230,        36.109,         1.173,        87.957,         1.036,         1.965,        0.0000,       -0.0000,    0,        43.875,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   121,     P-682,   2022/11/17 10:51:24,           1-05,      21,        -0.043,        -0.718,         0.622,         0.337,         20413,       0,    1,                                     BER,                                    STD2,                 H2O, 1668682559.77,         0.264,         0.193,         0.318,         0.185,       113.278,        -0.000,        -0.001,         1.794,        94.883,        35.672,         1.199,        89.511,         1.036,         2.299,        0.0000,        0.0000,    0,        43.750,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   122,     P-682,   2022/11/17 11:00:20,           1-05,      22,         0.008,        -0.680,         0.550,         0.367,         20445,       0,    1,                                     BER,                                    STD2,                 H2O, 1668683096.47,         0.240,         0.186,         0.311,         0.168,       114.967,        -0.001,        -0.001,         1.811,        95.189,        35.900,         1.180,        88.463,         1.039,         2.057,        0.0000,        0.0000,    0,        43.750,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   123,     P-682,   2022/11/17 11:09:18,           1-05,      23,         0.006,        -0.677,         0.595,         0.363,         20450,       0,    1,                                     BER,                                    STD2,                 H2O, 1668683634.48,         0.247,         0.193,         0.354,         0.178,       114.738,        -0.000,        -0.003,         1.809,        95.254,        35.924,         1.178,        88.104,         1.037,         1.963,        0.0000,        0.0000,    0,        43.688,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   124,     P-682,   2022/11/17 11:18:16,           1-05,      24,        -0.002,        -0.669,         0.737,         0.351,         20424,       0,    1,                                     BER,                                    STD2,                 H2O, 1668684172.67,         0.253,         0.184,         0.328,         0.184,       115.810,        -0.000,        -0.002,         1.832,        95.054,        35.926,         1.177,        88.221,         1.038,         2.025,        0.0000,        0.0000,    0,        43.688,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   125,     P-682,   2022/11/17 11:27:14,           1-05,      25,        -0.035,        -0.692,         0.573,         0.330,         20437,       0,    1,                                     BER,                                    STD2,                 H2O, 1668684710.05,         0.238,         0.176,         0.312,         0.173,       112.810,        -0.000,        -0.002,         1.789,        95.113,        35.834,         1.182,        88.662,         1.038,         2.095,       -0.0000,        0.0000,    0,        43.688,         1,       5,       2,Baptiste_20000ppm_O17,       0,       1
   126,     P-683,   2022/11/17 11:36:11,           1-06,       1,        -0.022,        -0.694,         0.647,         0.344,         20270,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668685247.60,         0.250,         0.185,         0.320,         0.176,       117.234,        -0.001,        -0.000,         1.852,        94.201,        35.540,         1.179,        88.261,         1.037,         2.151,       -0.0000,        0.0000,    0,        43.750,         1,       6,       2,Baptiste_20000ppm_O17,       0,       1
   127,     P-683,   2022/11/17 11:45:09,           1-06,       2,        -0.015,        -0.701,         0.527,         0.356,         20427,      -1,    1,                                     BER,                                    STD2,                 H2O, 1668685784.78,         0.259,         0.197,         0.341,         0.185,       113.328,        -0.001,        -0.002,         1.791,        95.106,        36.058,         1.172,        87.654,         1.037,         1.940,        0.0000,       -0.0000,    0,        43.812,         1,       6,       2,Baptiste_20000ppm_O17,       0,       1
